location_id,city,temperature,humidity,pressure,weather,temperature_max,temperature_min,apparent_temperature,wind_speed,rain,snow,precipitation,cloud_cover,time
0,Paris,22.05,37,1016,Clear,22.36,20.76,21.28,16.668,0.0,0,0.0,0,2025-07-05 23:00:00
1,London,20.53,76,1010,Clouds,21.19,18.94,20.62,18.503999999999998,0.0,0,0.0,75,2025-07-05 23:00:00
2,Rome,29.08,39,1018,Clear,29.08,29.08,28.6,0.0,0.0,0,0.0,0,2025-07-05 23:00:00
3,Oslo,15.86,95,999,Clouds,15.86,15.69,15.98,2.3040000000000003,0.0,0,0.0,92,2025-07-05 23:00:00
4,Moscow,15.7,39,1015,Clear,15.75,13.24,14.34,5.867999999999999,0.0,0,0.0,9,2025-07-05 23:00:00
5,New York,30.22,42,1019,Clear,31.99,28.19,30.2,16.668,0.0,0,0.0,0,2025-07-05 23:00:00
6,Montreal,24.23,56,1016,Clouds,24.67,23.47,24.17,14.832,0.0,0,0.0,100,2025-07-05 23:00:00
7,Mexico,25.84,93,1008,Clouds,25.84,25.84,26.91,5.184,0.0,0,0.0,95,2025-07-05 23:00:00
8,São Paulo,18.42,69,1022,Clear,19.94,16.92,18.12,20.376,0.0,0,0.0,0,2025-07-05 23:00:00
9,Lima,19.39,81,1015,Clouds,19.39,17.14,19.5,16.668,0.0,0,0.0,100,2025-07-05 23:00:00
10,Johannesburg,7.02,49,1022,Clear,7.63,6.75,6.02,6.12,0.0,0,0.0,0,2025-07-05 23:00:00
11,Cairo,27.42,54,1011,Clear,27.42,26.9,28.13,20.376,0.0,0,0.0,0,2025-07-05 23:00:00
12,Antananarivo,10.98,87,1024,Clouds,10.98,10.98,10.41,9.251999999999999,0.0,0,0.0,40,2025-07-05 23:00:00
13,Tokyo,26.8,83,1003,Clouds,27.66,25.34,29.55,14.832,0.0,0,0.0,75,2025-07-05 23:00:00
14,Shanghai,28.92,79,1004,Clear,28.92,28.92,34.31,10.8,0.0,0,0.0,0,2025-07-05 23:00:00
15,Dubai,32.96,75,996,Clouds,33.14,32.96,39.96,11.124,0.0,0,0.0,40,2025-07-05 23:00:00
16,Sydney,11.45,88,1019,Rain,11.87,10.17,10.95,16.668,0.9,0,0.9,75,2025-07-05 23:00:00
