location_id,city
0,Paris
1,London
2,Roma
3,Oslo
4,Moscow
5,New York
6,Montréal
7,Mexico
8,São Paulo
9,Lima
10,Johannesburg
11,Cairo
12,Antananarivo
13,Tokyo
14,Shanghai
15,Dubai
16,Sydney
